,,,Dessert (aliment moyen),2.18
entrées et plats composés,salades composées et crudités,-,Salade de thon et légumes | appertisée,0.78
entrées et plats composés,salades composées et crudités,-,Salade composée avec viande ou poisson | appertisée,0.6
entrées et plats composés,salades composées et crudités,-,Champignons à la grecque | appertisés,1
entrées et plats composés,salades composées et crudités,-,Salade de pommes de terre | fait maison,0
entrées et plats composés,salades composées et crudités,-,Taboulé ou Salade de couscous | préemballé,1.5
entrées et plats composés,salades composées et crudités,-,Salade de pomme de terre à la piémontaise | préemballée,0.7
entrées et plats composés,salades composées et crudités,-,Salade de riz | appertisée,0
entrées et plats composés,salades composées et crudités,-,Salade de pâtes | végétarienne,0.6
entrées et plats composés,salades composées et crudités,-,Crudité | sans assaisonnement (aliment moyen),1.02
entrées et plats composés,salades composées et crudités,-,Salade de pâtes aux légumes | avec poisson ou viande | préemballée,0.86
entrées et plats composés,salades composées et crudités,-,Macédoine de légumes en salade | avec sauce | préemballée,0.3
entrées et plats composés,salades composées et crudités,-,Salade César au poulet (salade verte | fromage | croûtons | sauce) | préemballée,0.51
entrées et plats composés,salades composées et crudités,-,Salade végétale à base de boulgour et/ou quinoa et légumes | préemballée,1.9
entrées et plats composés,salades composées et crudités,-,Carottes râpées | avec sauce | préemballées,0.77
entrées et plats composés,salades composées et crudités,-,Salade de betterave | avec sauce | préemballée,0.5
entrées et plats composés,salades composées et crudités,-,Salade de chou ou Coleslaw | avec sauce | préemballée,1.06
entrées et plats composés,salades composées et crudités,-,Salade de concombre à la crème/fromage blanc | préemballée,0
entrées et plats composés,salades composées et crudités,-,Salade de lentilles et saucisse fumée | préemballée,0
entrées et plats composés,salades composées et crudités,-,Salade grecque | avec sauce | préemballée,0
entrées et plats composés,salades composées et crudités,-,Salade de riz à la niçoise | avec sauce | préemballée,0.48
entrées et plats composés,salades composées et crudités,-,Taboulé ou Salade de couscous au poulet | préemballé,0.8
entrées et plats composés,soupes,-,Soupe aux lentilles | préemballée à réchauffer,0
entrées et plats composés,soupes,-,Soupe à la volaille et aux légumes | préemballée à réchauffer,0
entrées et plats composés,soupes,-,Soupe aux légumes variés | préemballée à réchauffer,0.29
entrées et plats composés,soupes,-,Soupe de poissons et / ou crustacés | préemballée à réchauffer,0.3
entrées et plats composés,soupes,-,Soupe aux légumes variés | déshydratée reconstituée,0.2
entrées et plats composés,soupes,-,Soupe aux poireaux et pommes de terre | préemballée à réchauffer,0.3
